Rk,Player,WAR,IP,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,W-L%,SV,H,R,ER,BB,SO,ERA,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
765,Josh Geer\geerjo01,-1.5,102.2,2009,26,SDP,NL,19,17,0,0,0,1,7,0.125,0,116,73,68,23,54,5.96,6.25,12.3%,5.3%,64,0.272,27,438,403,23,3,0,4,3,5,8,2,1,3,0,0,0.288,0.329,0.561,0.89,147,1634,1049
766,Joe Mays\maysjo01,-1.5,50.2,2006,30,TOT,ML,13,10,0,0,0,0,5,0,0,78,56,49,26,25,8.7,6.52,10.0%,10.4%,55,0.36,11,250,220,21,1,2,0,2,2,6,1,0,0,0,6,0.355,0.419,0.609,1.028,162,904,539
767,Mike Moore\mooremi01,-1.5,132.2,1995,35,DET,AL,25,25,1,0,0,5,15,0.25,0,179,118,111,68,64,7.53,6.07,10.1%,10.8%,64,0.33,24,632,554,35,5,3,2,4,4,9,18,3,0,0,8,0.323,0.396,0.534,0.931,140,,
768,Juan Berenguer\berenju01,-1.5,78,1992,37,TOT,ML,47,2,0,0,10,4,5,0.444,1,77,52,47,36,45,5.42,4.76,13.1%,10.5%,72,0.27,10,343,300,18,3,7,2,2,3,5,8,2,2,3,4,0.257,0.337,0.437,0.774,116,,
769,Reggie Cleveland\clevere01,-1.5,64.2,1981,33,MIL,AL,35,0,0,0,10,2,3,0.4,1,57,41,37,30,18,5.15,4.49,6.6%,11.0%,67,0.241,5,274,238,9,0,2,1,4,1,8,13,2,0,0,6,0.239,0.326,0.34,0.666,96,,
770,Dock Ellis\ellisdo01,-1.5,138.2,1979,34,TOT,ML,30,24,1,0,3,4,12,0.25,0,183,96,90,52,52,5.84,4.53,8.2%,8.2%,66,0.331,15,635,567,29,3,12,1,8,7,12,17,7,0,0,5,0.323,0.376,0.464,0.84,135,,
771,Gene Brabender\brabege01,-1.5,128.2,1970,28,MIL,AL,29,21,2,0,3,6,15,0.286,1,127,94,86,79,76,6.02,4.26,13.0%,13.5%,63,0.284,9,586,498,29,2,7,2,4,2,11,11,3,0,0,6,0.255,0.358,0.376,0.734,110,,
772,Roberto Rodriguez\rodriro01,-1.5,72,1970,29,TOT,ML,42,0,0,0,16,3,2,0.6,5,86,54,44,23,62,5.5,3.5,19.5%,7.2%,77,0.348,9,318,288,16,8,2,0,3,4,6,5,4,0,0,5,0.299,0.346,0.503,0.85,129,,
773,Dick Such\suchdi01,-1.5,50,1970,25,WSA,AL,21,5,0,0,3,1,5,0.167,0,48,42,42,45,41,7.56,5.96,17.2%,18.8%,47,0.284,8,239,186,6,1,5,3,1,4,2,7,2,0,0,3,0.258,0.403,0.43,0.833,143,,
774,Jack Fisher\fisheja01,-1.5,113,1969,30,CIN,NL,34,15,0,0,7,4,4,0.5,1,137,77,69,30,55,5.5,4.19,11.0%,6.0%,68,0.31,15,502,463,22,3,3,5,2,1,9,4,3,0,0,3,0.296,0.345,0.454,0.798,126,,
775,Philip Humber\humbeph01,-1.6,54.2,2013,30,HOU,AL,17,7,0,0,2,0,8,0,0,75,48,48,20,36,7.9,5.02,13.9%,7.7%,51,0.347,9,259,233,20,6,1,1,3,2,4,6,0,0,1,5,0.322,0.375,0.575,0.95,159,914,587
776,Jose Mesa\mesajo01,-1.6,50.2,2007,41,TOT,ML,56,0,0,0,21,2,3,0.4,1,53,48,40,25,29,7.11,6,12.7%,10.9%,65,0.272,9,229,194,9,3,2,2,2,6,6,1,0,0,0,3,0.273,0.352,0.49,0.842,117,793,465
777,Omar Olivares\olivaom01,-1.6,110,2001,33,PIT,NL,45,12,1,0,15,6,9,0.4,1,123,87,80,42,69,6.55,5.22,14.0%,8.5%,70,0.3,17,494,435,28,4,8,10,3,4,11,2,4,1,1,3,0.283,0.356,0.483,0.839,118,1744,1056
778,Sean Bergman\bergmse01,-1.6,68,2000,30,MIN,AL,15,14,0,0,0,4,5,0.444,0,111,76,73,33,35,9.66,7.09,10.4%,9.8%,54,0.377,18,337,297,18,2,1,2,2,3,11,12,0,0,0,2,0.374,0.436,0.63,1.065,162,1170,697
779,Greg Hibbard\hibbagr01,-1.6,80.2,1994,29,SEA,AL,15,14,0,0,0,1,5,0.167,0,115,78,60,31,39,6.69,5.16,10.0%,7.9%,73,0.343,11,392,351,18,2,1,2,6,2,6,5,0,0,0,5,0.328,0.383,0.484,0.868,120,,
780,Bob Stanley\stanlbo01,-1.6,79.1,1989,34,BOS,AL,43,0,0,0,22,5,2,0.714,4,102,54,43,26,32,4.88,3.63,9.0%,7.3%,85,0.339,4,356,318,19,1,2,1,4,7,13,2,2,0,0,1,0.321,0.366,0.425,0.791,116,,
781,Warren Brusstar\brusswa01,-1.6,74.1,1985,33,CHC,NL,51,0,0,0,20,4,3,0.571,4,87,55,50,36,34,6.05,4.74,9.8%,10.4%,66,0.303,8,346,298,16,4,11,3,4,5,5,9,2,0,0,3,0.292,0.368,0.453,0.821,126,,
782,Jim Todd\toddji01,-1.6,81,1979,31,OAK,AL,51,0,0,0,21,2,5,0.286,2,108,66,59,51,26,6.56,5.98,6.7%,13.0%,62,0.323,12,391,328,23,2,10,2,3,7,9,9,3,1,0,5,0.329,0.415,0.521,0.936,157,,
783,Jim McGlothlin\mcgloji01,-1.6,81.2,1973,29,TOT,ML,29,10,0,0,10,3,4,0.429,0,104,60,55,36,32,6.06,5.49,8.6%,9.7%,59,0.31,15,373,332,23,2,3,0,3,2,11,4,3,0,1,3,0.313,0.378,0.53,0.908,160,,
784,Dan McGinn\mcginda01,-1.6,62.2,1972,28,CHC,NL,42,2,0,0,19,0,5,0,4,78,46,41,29,42,5.89,3.68,14.1%,9.8%,64,0.343,5,297,259,12,2,6,4,4,1,3,1,2,1,0,4,0.301,0.379,0.421,0.8,125,,
785,Jim Nash\nashji01,-1.6,68.2,1972,27,TOT,NL,20,12,0,0,4,1,9,0.1,1,81,53,45,42,25,5.9,4.96,7.8%,13.1%,63,0.311,7,321,262,16,5,3,3,6,8,9,5,2,2,0,9,0.309,0.4,0.489,0.889,153,,
786,Travis Wood\woodtr01,-1.7,94,2017,30,TOT,ML,39,14,0,0,10,4,7,0.364,0,118,77,71,45,65,6.8,5.9,14.9%,10.3%,64,0.329,19,436,380,24,1,0,2,4,5,11,2,3,1,0,1,0.311,0.382,0.529,0.911,143,1711,1091
787,Tim Wakefield\wakefti01,-1.7,154.2,2011,44,BOS,AL,33,23,1,0,6,7,8,0.467,0,163,110,88,47,93,5.12,4.99,13.7%,6.9%,84,0.276,25,677,610,45,2,1,8,4,8,7,12,9,3,1,15,0.267,0.324,0.47,0.794,111,2416,1610
788,Danny Jackson\jacksda02,-1.7,67.2,1997,35,TOT,NL,17,13,0,0,0,2,9,0.182,0,98,64,57,28,32,7.58,5.74,10.0%,8.7%,53,0.361,11,321,279,27,1,3,5,4,5,6,8,3,2,0,2,0.351,0.413,0.573,0.987,168,,
789,Bob Forsch\forscbo01,-1.7,108.1,1989,39,HOU,NL,37,15,0,0,5,4,5,0.444,0,133,68,64,46,40,5.32,4.53,8.1%,9.3%,64,0.313,10,494,439,22,3,6,1,4,4,8,12,4,0,5,4,0.303,0.367,0.435,0.802,139,,
790,Ken Schrom\schroke01,-1.7,153.2,1987,32,CLE,AL,32,29,4,1,0,6,13,0.316,0,185,126,111,57,61,6.5,5.7,8.8%,8.2%,70,0.291,29,695,620,37,3,1,3,9,6,10,12,6,0,2,4,0.298,0.357,0.508,0.865,125,,
791,Rick Langford\langfri01,-1.7,55,1986,34,OAK,AL,16,11,0,0,1,1,10,0.091,0,69,49,45,18,30,7.36,5.79,12.0%,7.2%,53,0.296,13,251,230,9,2,0,1,0,2,3,1,3,0,0,2,0.3,0.351,0.526,0.877,144,,
792,Chuck Rainey\rainech01,-1.7,119,1984,29,TOT,ML,33,16,0,0,8,6,8,0.429,1,145,82,65,55,55,4.92,3.94,10.0%,10.0%,79,0.329,6,550,480,19,6,5,2,8,4,10,10,6,0,0,5,0.302,0.373,0.404,0.778,119,,
793,Pat Dobson\dobsopa01,-1.7,133.1,1977,35,CLE,AL,33,17,0,0,4,3,12,0.2,1,155,94,91,65,81,6.14,5.25,13.6%,10.9%,65,0.317,23,595,519,33,2,7,1,8,2,10,22,13,1,2,3,0.299,0.376,0.503,0.879,141,,
794,Rick Sawyer\sawyeri01,-1.7,111,1977,29,SDP,NL,56,9,0,0,15,7,6,0.538,0,136,77,72,55,45,5.84,5.36,8.9%,10.8%,61,0.324,15,508,431,24,2,11,7,12,3,9,12,6,2,2,10,0.316,0.399,0.485,0.884,153,,
795,Jim Perry\perryji01,-1.8,105.1,1975,39,TOT,AL,23,17,2,1,2,4,10,0.286,0,107,77,63,44,44,5.38,5.06,9.4%,9.4%,69,0.261,15,466,406,21,2,6,7,4,5,7,4,9,0,0,3,0.264,0.342,0.436,0.778,120,,
796,Steve Arlin\arlinst01,-1.8,107.2,1974,28,TOT,ML,27,22,2,0,3,3,12,0.2,1,144,80,74,59,38,6.19,4.3,7.5%,11.6%,58,0.346,6,510,438,26,2,8,2,6,5,9,6,6,1,1,11,0.329,0.407,0.438,0.845,146,,
797,Denny McLain\mclaide01,-1.8,76.1,1972,28,TOT,ML,20,13,2,0,5,4,7,0.364,1,92,58,54,26,29,6.37,5.43,8.4%,7.5%,56,0.28,16,345,314,14,2,0,1,2,2,2,4,2,0,2,1,0.293,0.347,0.503,0.85,146,,
798,Mike Cosgrove\cosgrmi01,-1.9,89.2,1976,25,HOU,NL,22,16,1,1,1,3,4,0.429,0,106,63,55,58,34,5.52,4.75,8.0%,13.7%,58,0.317,6,425,349,16,4,2,2,9,6,12,6,5,2,0,5,0.304,0.4,0.424,0.824,149,,
799,Nick Blackburn\blackni01,-2,98.2,2012,30,MIN,AL,19,19,0,0,0,4,9,0.308,0,143,81,81,26,42,7.39,6.1,9.2%,5.7%,56,0.331,23,456,421,30,2,0,1,2,6,8,5,1,0,0,2,0.34,0.374,0.584,0.959,161,1625,1043
800,Jim Bunning\bunniji01,-2,110,1971,39,PHI,NL,29,16,1,0,8,5,12,0.294,1,126,72,67,37,58,5.48,3.87,12.0%,7.6%,65,0.319,11,484,424,29,3,7,6,12,5,12,12,5,0,0,1,0.297,0.358,0.458,0.816,135,,
801,Ken Dixon\dixonke01,-2.1,105,1987,26,BAL,AL,34,15,0,0,13,7,10,0.412,5,128,81,75,27,91,6.43,5.78,19.4%,5.7%,68,0.304,31,470,439,21,3,4,1,1,2,7,9,1,0,1,5,0.292,0.333,0.565,0.898,135,,
802,Danny Coombs\coombda01,-2.1,57.2,1971,29,SDP,NL,19,7,0,0,4,1,6,0.143,0,81,52,40,25,37,6.24,4.72,13.4%,9.0%,53,0.351,10,277,248,14,4,5,0,3,1,4,9,4,0,0,4,0.327,0.387,0.536,0.923,176,,
803,Ray Washburn\washbra01,-2.1,66.1,1970,32,CIN,NL,35,3,0,0,9,4,4,0.5,0,90,61,51,48,37,6.92,5.07,11.2%,14.5%,61,0.352,7,331,278,17,3,9,0,3,2,9,0,1,0,0,0,0.324,0.421,0.482,0.903,145,,
804,Alfredo Simon\simonal01,-2.2,58.2,2016,35,CIN,NL,15,11,0,0,1,2,7,0.222,0,89,64,61,31,39,9.36,7.13,13.1%,10.4%,46,0.363,15,298,255,15,1,2,8,1,3,6,4,2,0,0,3,0.349,0.431,0.592,1.023,176,1120,668
805,Pete Redfern\redfepe01,-2.2,94.1,1982,27,MIN,AL,27,13,2,0,5,5,11,0.313,0,122,74,69,51,40,6.58,5.73,9.1%,11.6%,65,0.325,16,438,379,17,6,3,1,4,3,12,4,4,1,0,4,0.322,0.401,0.525,0.926,149,,
806,Dick Pole\poledi01,-2.2,98.2,1978,27,SEA,AL,21,18,2,0,1,4,11,0.267,0,122,82,71,41,41,6.48,5.2,9.1%,9.1%,59,0.306,16,451,399,25,3,3,3,4,4,11,12,1,1,0,2,0.306,0.371,0.504,0.875,145,,
807,Mike Maroth\marotmi01,-2.3,116.1,2007,29,TOT,ML,27,20,0,0,2,5,7,0.417,0,168,103,89,50,51,6.89,6.69,9.3%,9.1%,66,0.344,26,549,484,37,3,1,5,4,6,14,1,6,6,0,2,0.347,0.409,0.597,1.006,161,2028,1177
808,Ben Hayes\hayesbe01,-2.3,69.1,1983,25,CIN,NL,60,0,0,0,34,4,6,0.4,7,82,53,50,37,44,6.49,4.63,13.8%,11.6%,59,0.329,8,318,272,12,3,6,1,3,5,5,6,2,0,1,1,0.301,0.381,0.456,0.837,136,,
809,Jose Cabrera\cabrejo01,-2.4,103.1,2002,30,MIL,NL,50,11,0,0,8,6,10,0.375,0,131,84,78,36,61,6.79,5.98,12.9%,7.6%,60,0.32,23,474,417,31,4,9,9,8,4,4,11,6,1,0,3,0.314,0.378,0.573,0.951,154,1818,1080
810,Rocky Biddle\biddlro01,-2.5,78,2004,28,MON,NL,47,9,0,0,19,4,8,0.333,11,98,69,60,31,51,6.92,5.74,14.0%,8.5%,66,0.324,15,364,319,16,3,3,8,3,3,2,2,7,0,0,5,0.307,0.38,0.517,0.897,132,1355,850
